state,abbr,mhp_09,mhp_10,mhp_11,mhp_12,mhp_13,mhp_14,mhp_15,mhp_16
Alabama,AL,111900,117600,120800,122300,122500,123800,125500,128500
Alaska,AK,221300,229100,235100,237900,241800,246300,250000,257100
Arizona,AZ,218400,215000,197400,175900,165100,162900,167500,176900
Arkansas,AR,97200,102300,105100,106300,107300,108700,111400,114700
California,CA,479200,458500,421600,383900,366400,371400,385500,409300
Colorado,CO,234100,236600,236700,236800,236200,239400,247800,264600
Connecticut,CT,295800,296500,293100,285900,278900,274500,270500,269300
Delaware,DE,235000,242300,244100,241100,235800,232900,231500,233100
District of Columbia,DC,440500,443300,442600,443000,445200,454500,475800,506100
Florida,FL,211300,205600,188600,170800,160200,156200,159000,166800
Georgia,GA,160100,161400,160200,156400,151300,148000,148100,152400
Hawaii,HI,521500,537400,529500,517000,503100,504500,515300,538400
Idaho,ID,166700,172700,171300,167100,162100,160500,162900,167900
Illinois,IL,200400,202500,198500,190800,182300,175700,173800,174800
Indiana,IN,120200,123000,123300,123400,122800,122700,124200,126500
Iowa,IA,115800,119200,121300,123000,124300,126300,129200,132800
Kansas,KS,118500,122600,125500,127400,128400,129400,132000,135300
Kentucky,KY,113100,116800,118700,120000,120400,121600,123200,126100
Louisiana,LA,121300,130000,135400,137700,138900,140400,144100,148300
Maine,ME,172100,176200,176600,175600,174500,173600,173800,176000
Maryland,MD,326400,329400,319800,304900,292700,287500,286900,290400
Massachusetts,MA,357600,352300,343500,335500,330100,329900,333100,341000
Michigan,MI,147500,144200,137300,128600,121700,120200,122400,127800
Minnesota,MN,207000,206200,201400,194300,187900,185200,186200,191500
Mississippi,MS,91400,96500,99200,100200,99900,100800,103100,105700
Missouri,MO,134500,137700,138900,138400,137000,136700,138400,141200
Montana,MT,162100,173300,179900,183000,184200,187600,193500,199700
Nebraska,NE,119700,123900,125400,126700,128000,130100,133200,137300
Nevada,NV,275300,254200,225400,190900,169100,167100,173700,191600
New Hampshire,NH,253000,253200,250000,245600,239900,237400,237300,239700
New Jersey,NJ,356800,357000,349100,337900,327100,319900,315900,316400
New Mexico,NM,150500,158400,161800,161500,160000,159300,160300,161600
New York,NY,300600,303900,301000,295300,288200,283700,283400,286300
North Carolina,NC,143700,149100,152700,153600,153600,153600,154900,157100
North Dakota,ND,104300,111300,118200,123900,132400,142000,153800,164000
Ohio,OH,134500,136400,135600,133700,130800,129600,129900,131900
Oklahoma,OK,98800,104300,108400,110800,112800,115000,117900,121300
Oregon,OR,244200,252600,252600,246100,238000,234100,237300,247200
Pennsylvania,PA,152300,159300,163200,164900,164700,164900,166000,167700
Rhode Island,RI,283700,279300,270600,259400,247400,241200,238000,238200
South Carolina,SC,128400,134100,137000,137400,137400,137600,139900,143600
South Dakota,SD,115400,122200,127000,129800,132400,135700,140500,146700
Tennessee,TN,128500,134100,137200,138700,139200,139900,142100,146000
Texas,TX,118900,123500,126400,128000,128900,131400,136000,142700
Utah,UT,208100,218100,221300,217800,212800,212500,215900,224600
Vermont,VT,200600,208400,213000,215800,216800,216200,217500,218900
Virginia,VA,247100,255100,254600,249700,244600,243500,245000,248400
Washington,WA,277600,285400,283200,272900,262100,257200,259500,269300
West Virginia,WV,91400,94500,96500,97300,98500,100200,103800,107400
Wisconsin,WI,166100,169000,169700,169000,167100,165900,165800,167000
Wyoming,WY,163400,174000,181900,184400,185900,189300,194800,199900
Puerto Rico,PR,107200,112600,117300,121500,121200,121700,120500,118600
