state,abbr,hw_09,hw_10,hw_11,hw_12,hw_13,hw_14,hw_15,hw_16,lat,long,mhp_09,mhp_10,mhp_11,mhp_12,mhp_13,mhp_14,mhp_15,mhp_16,mhi_09,mhi_10,mhi_11,mhi_12,mhi_13,mhi_14,mhi_15,mhi_16,vc_09,vc_10,vc_11,vc_12,vc_13,vc_14,vc_15,vc_16
Alabama,AL,12,17,27,30,28,27,26,23,32.806671,-86.79113,111900,117600,120800,122300,122500,123800,125500,128500,41216,42081,42934,43160,43253,43511,43623,44758,449.8,377,420.1,449.9,0,427.4,472.4,532.3
Alaska,AK,13,14,12,12,12,14,15,14,61.370716,-152.404419,221300,229100,235100,237900,241800,246300,250000,257100,64635,66521,69014,69917,70760,71829,72515,74444,633,638.8,606.5,603.2,0,635.8,730.2,804.2
Arizona,AZ,0,0,0,0,0,0,0,0,33.729759,-111.431221,218400,215000,197400,175900,165100,162900,167500,176900,50296,50448,50752,50256,49774,49928,50255,51340,408.3,408.1,405.9,428.9,0,399.9,410.2,470.1
Arkansas,AR,2078,2944,3760,4446,4913,5394,5639,5585,34.969704,-92.373123,97200,102300,105100,106300,107300,108700,111400,114700,38542,39267,40149,40531,40768,41264,41371,42336,517.7,505.3,480.9,469.1,0,480.1,521.3,550.9
California,CA,558,575,679,1009,1261,1558,1717,1697,36.116203,-119.681564,479200,458500,421600,383900,366400,371400,385500,409300,60392,60883,61632,61400,61094,61489,61818,63783,472,440.6,411.1,423.1,0,396.1,426.3,445.3
Colorado,CO,115,180,426,963,1831,3091,4228,5064,39.059811,-105.311104,234100,236600,236700,236800,236200,239400,247800,264600,56222,56456,57685,58244,58433,59448,60629,62520,337.8,320.8,320.2,308.9,0,309.1,321,342.6
Connecticut,CT,0,0,0,0,0,0,0,0,41.597782,-72.755371,295800,296500,293100,285900,278900,274500,270500,269300,67721,67740,69243,69519,69461,69899,70331,71755,298.7,281.4,272.8,283,0,236.9,218.5,227.1
Delaware,DE,0,0,0,0,0,0,0,0,39.318523,-75.507141,235000,242300,244100,241100,235800,232900,231500,233100,57618,57599,59317,60119,59878,60231,60509,61017,636.6,620.9,559.5,547.4,0,489.1,499,508.8
District of Columbia,DC,0,0,0,0,0,0,0,0,38.897438,-77.026817,440500,443300,442600,443000,445200,454500,475800,506100,56519,58526,61835,64267,65830,69235,70848,72935,1345.9,1330.2,1202.1,1243.7,0,1244.4,1269.1,1205.9
Florida,FL,0,1,1,1,0,0,1,0,27.766279,-81.686783,211300,205600,188600,170800,160200,156200,159000,166800,47450,47661,47827,47309,46956,47212,47507,48900,612.5,542.4,515.3,487.1,0,540.5,461.9,430.3
Georgia,GA,0,0,0,0,0,0,0,0,33.040619,-83.643074,160100,161400,160200,156400,151300,148000,148100,152400,49466,49347,49736,49604,49179,49342,49620,51037,426.1,403.3,373.2,378.9,0,377.3,378.3,397.6
Hawaii,HI,0,0,0,0,0,0,0,0,21.094318,-157.498337,521500,537400,529500,517000,503100,504500,515300,538400,64661,66420,67116,67492,67402,68201,69515,71977,274.8,262.7,287.2,239.2,0,259.2,293.4,309.2
Idaho,ID,0,0,0,0,0,0,0,0,44.240459,-114.478828,166700,172700,171300,167100,162100,160500,162900,167900,46183,46423,46890,47015,46767,47334,47583,49174,228.4,221,200.9,207.9,0,212.2,215.6,230.3
Illinois,IL,0,0,0,0,0,0,0,0,40.349457,-88.986137,200400,202500,198500,190800,182300,175700,173800,174800,55222,55735,56576,56853,56797,57166,57574,59196,497.2,435.2,429.3,414.8,0,370,383.8,436.3
